Ngày đăng,Loại hình,Diện tích (m²),Giá (tỷ),Giấy tờ pháp lý,Số phòng ngủ,Số phòng vệ sinh,Tình trạng nội thất,Link
09/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường 1",49.0,1.55,Sổ đỏ/ Sổ hồng,2,1,Cơ bản,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-1-xa-binh-loi-1/ban-2pn-1wc-49m2-view-noi-khu-tang-mat-day-du-tien-ich-gia-chi-tu-1-5-ty-1-9-ty-pr44212185
21/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường 10A",37.0,1.79,Sổ đỏ/ Sổ hồng,2,6,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-10a-phuong-tan-tao/ban-cc-tai-binh-chi-minh-1-79-ty-37m2-gia-uu-dai-pr44330464
21/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường 10B",43.0,1.77,Sổ đỏ/ Sổ hồng,2,6,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-10b-phuong-binh-tri-dong-b/an-cc-2pn-43m2-1-77-ty-tai-tan-tp-hcm-pr44330612
21/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường 13B",37.0,1.68,Khác,2,6,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-13b-phuong-binh-tri-dong/ban-cc-2pn-gia-uu-dai-1-679-ty-37m2-tai-tan-hcm-pr44330673
18/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường An Dương Vương",40.0,1.42,Hợp đồng mua bán,1,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-an-duong-vuong-phuong-phu-thuong-1/ban-cc-tai-1-42-ty-40m2-day-du-tien-nghi-hot-pr44309629
26/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường An Trung 2",50.0,2.0,Sổ đỏ/ Sổ hồng,2,2,Không rõ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-an-trung-2-phuong-an-hai-nam/b-cc-view-dep-tai-2-2-3-ty-50-m2-2pn-2wc-pr44295354
22/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Bình Phú",47.0,1.6,Sổ đỏ/ Sổ hồng,1,1,Không nội thất,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-binh-phu-phuong-10-4/ban-so-30-ong-10-q-6-dt-47m2-1-png-ngu-1wc-pr44053747
25/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Bùi Xương Trạch",50.0,2.16,Hợp đồng mua bán,2,2,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-bui-xuong-trach-phuong-khuong-dinh/ban-ccmn-moi-tinh-2ngu-2wc-dong-nam-thanh-xuan-pr44373529
23/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Bùi Xương Trạch",52.0,1.45,Sổ đỏ/ Sổ hồng,2,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-bui-xuong-trach-phuong-khuong-dinh/ban-lo-1-2p-ngu-full-do-tai-thanh-xuan-35-52m2-o-ngay-du-pccc-pr44045577
17/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Bùi Xương Trạch",50.0,1.44,Sổ đỏ/ Sổ hồng,2,2,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-bui-xuong-trach-phuong-khuong-dinh/ban-lo-1-2pn-o-thanh-xuan-tu-1ty4-2ty-full-do-pr44084199
